,name,link
150,Swatantra Veer Savarkar (2024) Hindi HDCAM 720p – 480p,https://vegamovies.vg/34920-swatantra-veer-savarkar-2024-hindi-hdcam-720p-480p.html
151,Argylle (2024) Hindi (ORG DD 5.1) Dual Audio HDRip 720p – 480p,https://vegamovies.vg/34905-argylle-2024-hindi-cleaned-dual-audio-hdrip-720p-480p.html
152,Super Over (2021) [Hindi + Telugu] HDRip 1080p – 720p – 480p,https://vegamovies.vg/34911-super-over-2021-hindi-telugu-hdrip-1080p-720p-480p.html
153,Mean Girls (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34914-mean-girls-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
154,Road House (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34908-road-house-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
155,Ae Watan Mere Watan 2024 Hindi HDRip 1080p – 720p – 480p,https://vegamovies.vg/34902-ae-watan-mere-watan-2024-hindi-hdrip-1080p-720p-480p.html
156,The Classified File (2015) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34896-the-classified-file-2015-hindi-dual-audio-hdrip-1080p-720p-480p.html
157,Fighter 2024 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/34893-fighter-2024-hindi-hdts-720p-480p.html
158,Man of Men (2019) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34890-man-of-men-2019-hindi-dual-audio-hdrip-1080p-720p-480p.html
159,Bagheera (2023) Hindi HDRip 720p – 480p,https://vegamovies.vg/34887-bagheera-2023-hindi-hdrip-720p-480p.html
160,Jatt Nuu Chudail Takri 2024 Punjabi Pre-DVDRip 720p – 480p,https://vegamovies.vg/34881-jatt-nuu-chudail-takri-2024-punjabi-pre-dvdrip-720p-480p.html
161,Bob Marley: One Love 2024 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34878-bob-marley-one-love-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
162,Abraham Ozler 2024 Hindi HDRip 1080p – 720p – 480p,https://vegamovies.vg/34875-abraham-ozler-2024-hindi-hdrip-1080p-720p-480p.html
163,Battery (2022) [Hindi + Tamil] HDRip 720p – 480p – 1080p,https://vegamovies.vg/34872-battery-2022-hindi-tamil-hdrip-720p-480p-1080p.html
